Program,Tissue_Type,Image_Name,Vessel_Length,Vessel_Area,Mean_Diameter,Num_BranchPoints,Sensitivity,Specificity,Accuracy,umppix,pix_dim
AngioTool,diaphragm,diaphragm_60x_6.tif,12411,171544,12.16758442,73,0.850374025,0.984964464,0.961028099,0.207194025,1024
AngioTool,heart,heart_60x_1.tif,12218,145046,10.46174622,95,0.680660352,0.993065815,0.932139397,0.207194025,1024
AngioTool,heart,heart_60x_2.tif,19553,226826,10.10181904,277,0.60179779,0.984646991,0.853450775,0.207194025,1024
AngioTool,heart,heart_60x_3.tif,22496,274226,10.67826462,347,0.71061095,0.985595482,0.887989998,0.207194025,1024
AngioTool,heart,heart_60x_4.tif,13476,182813,10.7013092,154,0.668269448,0.993187705,0.91089344,0.207194025,1024
AngioTool,heart,heart_60x_5.tif,18605,255551,11.45049381,245,0.774243713,0.984194611,0.921105385,0.207194025,1024
AngioTool,heart,heart_60x_6.tif,25242,297318,10.266366,505,0.656646593,0.960323793,0.84029007,0.207194025,1024
AngioTool,ing_fat,ing_fat_20x_1.tif,7853,104791,10.89410686,35,0.478129832,0.997802546,0.891080856,0.310791038,1024
AngioTool,ing_fat,ing_fat_20x_2.tif,8789,111819,10.11025524,37,0.430098898,0.996869233,0.859469414,0.310791038,1024
AngioTool,ing_fat,ing_fat_20x_3.tif,9160,113668,10.35231495,53,0.689088047,0.992313029,0.947494507,0.310791038,1024
AngioTool,ing_fat,ing_fat_60x_1.tif,3647,49305,11.1819067,30,0.188578991,0.998735541,0.800833702,0.207194025,1024
AngioTool,ing_fat,ing_fat_60x_2.tif,4178,51329,9.97707653,50,0.159284221,0.997663941,0.748657227,0.207194025,1024
AngioTool,ing_fat,ing_fat_60x_3.tif,3749,51176,11.08590698,27,0.669514286,0.995595641,0.973827362,0.207194025,1024
AngioTool,liver,liver_60x_1.tif,23559,283502,10.28102684,506,0.622680437,0.969826591,0.829097748,0.207194025,1024
AngioTool,liver,liver_60x_2.tif,26171,315872,10.54315567,531,0.63165899,0.954660836,0.813686371,0.207194025,1024
AngioTool,liver,liver_60x_3.tif,26002,318304,10.20000172,515,0.609506733,0.94673875,0.794992447,0.207194025,1024
AngioTool,liver,liver_60x_4.tif,27566,342078,10.3389492,534,0.595169008,0.924164882,0.765540123,0.207194025,1024
AngioTool,liver,liver_60x_5.tif,28936,358670,10.3100853,579,0.56301839,0.885765255,0.721926689,0.207194025,1024
AngioTool,liver,liver_60x_6.tif,29278,349077,9.814476967,601,0.557844981,0.917703488,0.728061676,0.207194025,1024
AngioTool,periton_cav,periton_cav_20x_1.tif,9754,134112,11.65280533,56,0.56690985,0.997060917,0.901751518,0.310791038,1024
AngioTool,periton_cav,periton_cav_20x_2.tif,11670,133460,9.779762268,12,0.621696002,0.998167081,0.921978951,0.310791038,1024
AngioTool,periton_cav,periton_cav_20x_3.tif,12751,146644,10.19412899,47,0.692009643,0.994267792,0.93519783,0.310791038,1024
AngioTool,periton_cav,periton_cav_60x_1.tif,8400,99839,9.844971657,79,0.310073434,0.995450298,0.792064667,0.207194025,1024
AngioTool,periton_cav,periton_cav_60x_2.tif,13656,164708,10.28298187,109,0.573849622,0.989511828,0.881354332,0.207194025,1024
AngioTool,periton_cav,periton_cav_60x_3.tif,8086,109255,11.5138483,77,0.763658713,0.994643082,0.964536667,0.207194025,1024
AngioTool,retina,retina_20x_1.tif,13813,178710,10.62334251,93,0.821017534,0.987806975,0.955176353,0.310791038,1024
AngioTool,retina,retina_20x_2.tif,13124,155461,10.0169487,71,0.785420461,0.99371895,0.955761909,0.310791038,1024
AngioTool,retina,retina_20x_3.tif,9957,113747,9.786015511,49,0.773074019,0.995371989,0.965330124,0.310791038,1024
AngioTool,retina,retina_60x_1.tif,11606,150670,10.96646595,137,0.675638019,0.995501176,0.929162979,0.207194025,1024
AngioTool,retina,retina_60x_2.tif,10521,141720,11.33360577,128,0.741916743,0.994127712,0.949828148,0.207194025,1024
AngioTool,retina,retina_60x_3.tif,10272,145332,11.84085369,139,0.775243356,0.992957455,0.955673218,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_1.tif,4059,100204,20.47704124,17,0.807265807,0.984593102,0.966643333,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_2.tif,9461,301363,27.73143578,47,0.937664082,0.968772849,0.959980965,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_3.tif,14395,289604,17.16104698,79,0.90089759,0.983015466,0.958934784,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_4.tif,13929,251761,15.85072517,36,0.922373651,0.989399028,0.972528458,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_5.tif,8970,167469,16.02674484,11,0.931971535,0.993451661,0.983276367,0.207194025,1024
REAVER,diaphragm,diaphragm_60x_6.tif,10144,185985,15.9615612,29,0.936568625,0.986858696,0.97791481,0.207194025,1024
REAVER,heart,heart_60x_1.tif,9384,184421,17.72873688,13,0.887846765,0.996612876,0.975400925,0.207194025,1024
REAVER,heart,heart_60x_2.tif,13259,321629,22.50322533,69,0.875276208,0.989675675,0.950472832,0.207194025,1024
REAVER,heart,heart_60x_3.tif,13751,375926,24.72008705,51,0.949961176,0.966943383,0.960915565,0.207194025,1024
REAVER,heart,heart_60x_4.tif,10761,277993,21.19058609,33,0.941388659,0.96426674,0.958472252,0.207194025,1024
REAVER,heart,heart_60x_5.tif,13398,300604,18.61595535,61,0.913418938,0.982558583,0.961782455,0.207194025,1024
REAVER,heart,heart_60x_6.tif,13075,410037,27.64398384,62,0.922869799,0.956573644,0.94325161,0.207194025,1024
REAVER,ing_fat,ing_fat_20x_1.tif,8217,199481,21.36171532,46,0.77869313,0.961837988,0.924226761,0.310791038,1024
REAVER,ing_fat,ing_fat_20x_2.tif,9607,219528,19.26943588,51,0.730344372,0.957358876,0.902324677,0.310791038,1024
REAVER,ing_fat,ing_fat_20x_3.tif,9567,182838,16.67419624,63,0.928935517,0.95650578,0.952430725,0.310791038,1024
REAVER,ing_fat,ing_fat_60x_1.tif,3046,71130,19.79517365,9,0.271892154,0.998123503,0.82072258,0.207194025,1024
REAVER,ing_fat,ing_fat_60x_2.tif,3358,72921,18.39155579,23,0.224071,0.995744358,0.766550064,0.207194025,1024
REAVER,ing_fat,ing_fat_60x_3.tif,3255,78760,21.11708641,9,0.973042857,0.989119905,0.988046646,0.207194025,1024
REAVER,liver,liver_60x_1.tif,10477,435512,36.59088898,50,0.962477651,0.957686978,0.959629059,0.207194025,1024
REAVER,liver,liver_60x_2.tif,14105,452499,29.29734039,89,0.927969287,0.952934726,0.942038536,0.207194025,1024
REAVER,liver,liver_60x_3.tif,12533,481023,34.69475937,86,0.949681456,0.942901679,0.945952415,0.207194025,1024
REAVER,liver,liver_60x_4.tif,13170,565376,41.71284866,111,0.975087476,0.866664702,0.918940544,0.207194025,1024
REAVER,liver,liver_60x_5.tif,13473,619238,46.53842926,113,0.969180739,0.799825288,0.885796547,0.207194025,1024
REAVER,liver,liver_60x_6.tif,14132,580349,41.27394104,139,0.953661763,0.892404438,0.924686432,0.207194025,1024
REAVER,periton_cav,periton_cav_20x_1.tif,8690,207711,21.04816818,27,0.801493533,0.973664641,0.935516357,0.310791038,1024
REAVER,periton_cav,periton_cav_20x_2.tif,11790,212875,16.32240868,9,0.893617021,0.97220731,0.956302643,0.310791038,1024
REAVER,periton_cav,periton_cav_20x_3.tif,12341,230889,17.4362545,41,0.953309064,0.957879652,0.956986427,0.310791038,1024
REAVER,periton_cav,periton_cav_60x_1.tif,6035,136923,20.07428932,18,0.428361159,0.99507466,0.82690239,0.207194025,1024
REAVER,periton_cav,periton_cav_60x_2.tif,11032,213445,17.61971092,26,0.769704411,0.995571919,0.936800003,0.207194025,1024
REAVER,periton_cav,periton_cav_60x_3.tif,6175,129269,18.64432526,15,0.916434357,0.995592743,0.985275269,0.207194025,1024
REAVER,retina,retina_20x_1.tif,12947,206455,13.23355579,78,0.949206164,0.986090181,0.978874207,0.310791038,1024
REAVER,retina,retina_20x_2.tif,12182,182912,12.59697628,59,0.920518537,0.991809913,0.978818893,0.310791038,1024
REAVER,retina,retina_20x_3.tif,9416,132742,12.03995705,34,0.919192418,0.9972587,0.986708641,0.310791038,1024
REAVER,retina,retina_60x_1.tif,9062,200929,19.04407501,35,0.915726307,0.997851056,0.980818748,0.207194025,1024
REAVER,retina,retina_60x_2.tif,8485,168255,16.76270676,35,0.907523741,0.998715871,0.982698441,0.207194025,1024
REAVER,retina,retina_60x_3.tif,7949,169504,18.35558701,33,0.934288196,0.998006914,0.987094879,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_1.tif,2427,11163,4.850762367,208,0.104785144,0.999956496,0.909343719,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_2.tif,17371,227558,14.5456562,864,0.760931479,0.997262805,0.93047142,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_3.tif,20665,217767,10.57436848,1020,0.698653615,0.996035548,0.908829689,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_4.tif,18428,186665,10.11999607,721,0.699398706,0.997359315,0.922361374,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_5.tif,12177,100695,7.962478638,429,0.579158143,0.999788579,0.930171967,0.207194025,1024
RAVE,diaphragm,diaphragm_60x_6.tif,12297,158596,12.47270203,288,0.836136955,0.996904039,0.968312263,0.207194025,1024
RAVE,heart,heart_60x_1.tif,11400,84227,7.598911285,504,0.411825112,0.999988153,0.885282516,0.207194025,1024
RAVE,heart,heart_60x_2.tif,17989,135844,8.072507858,1028,0.377947847,0.999947769,0.786798477,0.207194025,1024
RAVE,heart,heart_60x_3.tif,23346,297281,13.27990627,948,0.794334092,0.997579781,0.925437927,0.207194025,1024
RAVE,heart,heart_60x_4.tif,14416,170438,11.75784874,662,0.640714662,0.999646231,0.908737183,0.207194025,1024
RAVE,heart,heart_60x_5.tif,19838,254260,12.67848969,730,0.803035304,0.998323072,0.939640045,0.207194025,1024
RAVE,heart,heart_60x_6.tif,26471,297497,12.46503448,1480,0.708969088,0.994240729,0.881482124,0.207194025,1024
